emotion,sentence
Anticipation,I was determined to take a calculated risk.
Fear,A close shave in the post room.
Aggression,One false move and you're dead.
Anticipation,"This is another high scoring technique, though its use is fraught with danger."
Neutral,"When the kick is delivered, the defender ducks beneath it, well out of harm 's way."
Optimism,"Clearly, the British people know when the policy is in safe hands."
Fear,"She says do not worry, but it's wiser to be on the safe side."
Love,"There is, we might say, a general interest at stake here."
Anticipation,"Take cover, here comes Attila."
Anticipation,"Now watch your step, the path gets a bit steep further down."
Disapproval,You'll need to lie in or you'll be too exhausted to have any fun.
Neutral,"Shift the cattle, work the horses, stick and ball, come back for lunch, an hour's siesta, and you go out like a light I can tell you, then we play chukkas in the afternoon."
Neutral,"A sleeping partner is a person who contributes capital to a business, and receives a share of the profits, but takes no active part in running the business."
Neutral,"There is no need to go back to square one, just a few steps backward is all that is needed."
Optimism,Glenavon are on the march again with a Gold Cup quarter-final place in the bag.
Optimism,Surely some of it will bear fruit.
Neutral,Virgin is teaming up with Blockbuster International to set up a chain of international mega-stores.
Disapproval,It is not unknown for so-called' unspinnable' aircraft to come to grief by getting into a stable spin
Joy,England swept aside defending champions Ireland at Hoylake yesterday to stay on course for their first men's amateur Home International title for four years.
Neutral,No one can make a dead duck go' quack' any more than a dead person can be made to speak
Neutral,It is also a nation waiting for her to fall flat on her face.
Neutral,The competition was soon simplified with the fall from grace of William Craig.
Joy,I had a trial pouring and the teapot passed with flying colours.
Neutral,Asitz double chair lift operates on Wednesdays and Sundays during high summer to give a flying start to some of the area's prettiest walks.
Sadness,"Beatty thinks he's got it made, but she turns to Jack."
Neutral,Existing industries expanded in leaps and bounds.
Neutral,We have come a long way since the idealism of Lord Devlin
Trust,"If he can't make a go of them, nobody can."
Neutral,"This and the social side, if any, is what can make or break a holiday."
Anticipation,Australia made inroads into our batting and the moment of truth arrived when Fletch had to go out and bat.
Anticipation,"What God has done fades slowly out of the picture, and we focus increasingly on what we ourselves seem well able to do."
Neutral,We are comfortable and I could pack it in tomorrow.
Neutral,I used the analogy of a family that goes from rags to riches and back to rags in three or four generations.
Joy,Central bankers are riding high.
Awe,Sandy is a knight who does not fail to rise to the occasion.
Neutral,The imaginary central point in the sail through which the power of the sail acts.
Optimism,"Also, there are situations in which it could well save the day."
Neutral,You either sink or swim.
Joy,It may not be the London Palladium but it is a smash hit.
Awe,"In reality, though, he is top dog already."
Awe,Stir in oodles of special effects and hand the wooden spoon to Robert.
Surprise,A bolt from the blue is how Dounreay described hearing of her thrilling news that she had been awarded the MBE in The Queen's birthday honours.
Surprise,"Then out of the blue, the radio station sacked them."
Surprise,Virginia's jaw dropped open in surprise.
Awe,"I can remember waiting some minutes before walking through the house, knowing that there must be proof of burglary at the back door, and when I got there in an uncomprehending state, lo and behold the kitchen door was broken right down."
Sadness,The cap badge with its St Andrew's Cross split in two brought a lump to my throat as I stood rooted to the spot.
Surprise,"Fabia was staring at him, struck dumb, when suddenly he let go one of her arms and placed an arm about her shoulders."
Submission,"He and John, the Red Comyn, had come to blows before."
Neutral,"Almost 30 pages of art for only 4.25 and as with Eastern Promise, copyright free for all.
"
Neutral,"Remorseful Prober does better against tit for tat than Naive Prober does, though not as well as tit for tat does against itself."
Anger,"Needless to say, the credit card companies are up in arms at this suggestion and are fighting all the way."
Neutral,"However, it is a moot point as to how representative the Church of England really 
are."
Neutral,Planning in the railways has traditionally had an important political dimension that has sometimes been at odds with its use as an internal business tool.
Fear,"He felt cold to the point of shivering, weak enough for standing to be out of the question."
Disapproval,Obviously these two were at loggerheads.
Disapproval,Perhaps this is the biggest bone of contention in our modern-day evaluation of the Rottweiler.
Awe,Sandy was a bit cheesed off because he couldn't see whether it was a man or woman running about with no clothes on.
Optimism,If we cut it out of our diet today we will be none the worse off but will have a head start in reducing our total intake of calories.
Anger,Can't you give it a rest?
Contempt,"So any docks, dandelions and creeping buttercup go straight to the tip and good riddance to them too."
Neutral,In the general election campaign Carter continued to harp on the need to clear up the' mess' in Washington.
